Product Name,Product Description ,Manufacturer Name,SKU/Item Number ,MFG Sku ),Color Size Sku,Size Code,Weight (oz),Color 1 Name,Color 2 Name,Color 1 Hex Value,Color 2 Hex Value,Supplier Name ,Customer Price ,GTIN/UPC Code,Search Tags,Front Image,Back Image,Third Image,Fourth Image,Pre-Decorated Item,Max Imprint Colors,Minimum Per Order
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001AEKS,A04,4.4576,ATHLETIC NAVY,,#252749,,DELTA APPAREL,3.63,027362012199,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001AEK_071219153747.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001AEKM,A05,5.0624,ATHLETIC NAVY,,#252749,,DELTA APPAREL,3.63,027362012182,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001AEK_071219153747.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001AEKL,A06,5.8016,ATHLETIC NAVY,,#252749,,DELTA APPAREL,3.63,027362012175,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001AEK_071219153747.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001AEKXL,A07,6.5664,ATHLETIC NAVY,,#252749,,DELTA APPAREL,3.63,027362012205,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001AEK_071219153747.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001AEK2X,A08,7.5008,ATHLETIC NAVY,,#252749,,DELTA APPAREL,3.63,027362012212,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001AEK_071219153747.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001EBPS,A04,4.4576,Black,,#1E1E1E,,DELTA APPAREL,3.63,027362012250,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001EBP.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001EBPM,A05,5.0624,Black,,#1E1E1E,,DELTA APPAREL,3.63,027362012243,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001EBP.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001EBPL,A06,5.8016,Black,,#1E1E1E,,DELTA APPAREL,3.63,027362012236,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001EBP.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001EBPXL,A07,6.5664,Black,,#1E1E1E,,DELTA APPAREL,3.63,027362012267,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001EBP.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001EBP2X,A08,7.5008,Black,,#1E1E1E,,DELTA APPAREL,3.63,027362012274,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001EBP.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001HHWS,A04,4.4576,ATHLETIC RED HEATHER,,#AC1123,,DELTA APPAREL,3.63,027362012311,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001HHW_071219153804.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001HHWM,A05,5.0624,ATHLETIC RED HEATHER,,#AC1123,,DELTA APPAREL,3.63,027362012304,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001HHW_071219153804.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001HHWL,A06,5.8016,ATHLETIC RED HEATHER,,#AC1123,,DELTA APPAREL,3.63,027362012298,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001HHW_071219153804.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001HHWXL,A07,6.5664,ATHLETIC RED HEATHER,,#AC1123,,DELTA APPAREL,3.63,027362012328,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001HHW_071219153804.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001HHW2X,A08,7.5008,ATHLETIC RED HEATHER,,#AC1123,,DELTA APPAREL,3.63,027362012335,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001HHW_071219153804.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001HMTS,A04,4.4576,ATHLETIC OXFORD,,#A09EA4,,DELTA APPAREL,3.63,027362012434,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001HMT.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001HMTM,A05,5.0624,ATHLETIC OXFORD,,#A09EA4,,DELTA APPAREL,3.63,027362012427,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001HMT.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001HMTL,A06,5.8016,ATHLETIC OXFORD,,#A09EA4,,DELTA APPAREL,3.63,027362012410,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001HMT.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001HMTXL,A07,6.5664,ATHLETIC OXFORD,,#A09EA4,,DELTA APPAREL,3.63,027362012441,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001HMT.png,,,,,,
Adult S/S Tee,Delta Dri 30/1?s Adult 100% Poly Performance Tee,Delta Apparel,11001,11001,11001HMT2X,A08,7.5008,ATHLETIC OXFORD,,#A09EA4,,DELTA APPAREL,3.63,027362012458,11001 - Delta Apparel - Adult S/S Tee,https://www.deltaapparel.com/prodimg/hires/11001HMT.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009AEKXS,A03,3.0976,ATHLETIC NAVY,,#252749,,DELTA APPAREL,2.64,027362012571,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009AEK.png,,,,,,
Youth Retail SS T,Delta Dri 30/1?s Youth 100% Poly Performance Tee,Delta Apparel,11009,11009,11009AEKS,A04,3.4528,ATHLETIC NAVY,,#252749,,DELTA APPAREL,2.64,027362012557,11009 - Delta Apparel - Youth Retail SS T,https://www.deltaapparel.com/prodimg/hires/11009AEK.png,,,,,,
